Location,White,Black,Hispanic,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Multiple Races,Total
Alabama,0.645,0.252,0.048,0.014,0.002,N/A,0.039,1
Alaska,0.577,0.028,0.073,0.061,0.128,0.016,0.116,1
Arizona,0.518,0.043,0.325,0.035,0.033,0.001,0.044,1
Arkansas,0.677,0.141,0.085,0.015,0.004,0.004,0.074,1
California,0.337,0.051,0.404,0.153,0.002,0.003,0.049,1
Colorado,0.65,0.036,0.226,0.031,0.004,0.001,0.052,1
Connecticut,0.62,0.097,0.183,0.047,0.001,N/A,0.052,1
Delaware,0.59,0.211,0.103,0.041,0.001,N/A,0.054,1
Florida,0.508,0.144,0.273,0.028,0.001,0,0.046,1
Georgia,0.498,0.306,0.104,0.044,0.001,0.001,0.047,1
Hawaii,0.195,0.011,0.108,0.359,0.001,0.094,0.232,1
Idaho,0.793,0.005,0.135,0.013,0.008,0.002,0.043,1
Illinois,0.585,0.13,0.184,0.06,0.001,0,0.04,1
Indiana,0.761,0.091,0.078,0.025,0.001,0,0.044,1
Iowa,0.829,0.036,0.068,0.024,0.001,0.002,0.039,1
Kansas,0.733,0.046,0.131,0.03,0.004,N/A,0.055,1
Kentucky,0.825,0.074,0.041,0.014,0.001,N/A,0.045,1
Louisiana,0.571,0.306,0.057,0.018,0.004,N/A,0.044,1
Maine,0.905,0.016,0.02,0.009,0.004,N/A,0.045,1
Maryland,0.472,0.292,0.115,0.066,0.001,N/A,0.054,1
Massachusetts,0.673,0.065,0.131,0.07,0.001,N/A,0.06,1
Michigan,0.729,0.129,0.057,0.033,0.003,0,0.05,1
Minnesota,0.763,0.065,0.058,0.052,0.007,N/A,0.055,1
Mississippi,0.557,0.364,0.032,0.009,0.004,N/A,0.035,1
Missouri,0.769,0.104,0.047,0.021,0.002,0.001,0.056,1
Montana,0.838,0.003,0.043,0.006,0.051,N/A,0.058,1
Nebraska,0.759,0.042,0.123,0.023,0.005,N/A,0.047,1
Nevada,0.444,0.09,0.303,0.09,0.005,0.006,0.063,1
New Hampshire,0.867,0.014,0.045,0.026,0.001,N/A,0.047,1
New Jersey,0.515,0.118,0.22,0.101,0.001,N/A,0.046,1
New Mexico,0.347,0.015,0.505,0.016,0.081,N/A,0.035,1
New York,0.53,0.133,0.197,0.09,0.002,0,0.048,1
North Carolina,0.609,0.2,0.104,0.031,0.008,0.001,0.046,1
North Dakota,0.828,0.026,0.044,0.012,0.039,N/A,0.048,1
Ohio,0.763,0.118,0.044,0.025,0.001,0,0.049,1
Oklahoma,0.628,0.065,0.122,0.023,0.069,N/A,0.092,1
Oregon,0.718,0.017,0.144,0.045,0.007,0.004,0.065,1
Pennsylvania,0.733,0.098,0.087,0.037,0.001,N/A,0.045,1
Rhode Island,0.68,0.045,0.179,0.032,N/A,N/A,0.062,1
South Carolina,0.628,0.247,0.064,0.017,0.002,N/A,0.041,1
South Dakota,0.801,0.019,0.046,0.014,0.072,N/A,0.045,1
Tennessee,0.721,0.152,0.063,0.019,0.001,0.001,0.044,1
Texas,0.389,0.115,0.405,0.054,0.001,0.001,0.036,1
Utah,0.756,0.01,0.152,0.026,0.007,0.011,0.039,1
Vermont,0.904,0.008,0.022,0.015,N/A,N/A,0.049,1
Virginia,0.589,0.182,0.104,0.07,0.001,0.001,0.054,1
Washington,0.636,0.038,0.14,0.098,0.009,0.006,0.073,1
West Virginia,0.904,0.029,0.019,0.007,N/A,N/A,0.04,1
Wisconsin,0.791,0.057,0.076,0.029,0.006,N/A,0.041,1
Wyoming,0.819,0.007,0.109,0.006,0.016,N/A,0.043,1