Location,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index,Interim Index,Value
ALABAMA,0,0,0,0,0,0,0.004883124155
SOUTH CAROLINA,0,0,0,0,0,0,0.03425194594
NEBRASKA,0.15,0,0,0,0.0375,0.0375,0.0375
NEW HAMPSHIRE,0.15,0,0,0,0.0375,0.0375,0.0375
NORTH DAKOTA,0.15,0,0,0,0.0375,0.0375,0.0375
OKLAHOMA,0.15,0,0,0,0.0375,0.0375,0.0375
UTAH,0.15,0,0,0,0.0375,0.0375,0.0375
MICHIGAN,0.15,0,0,0,0.0375,0.0375,0.04857766978
IOWA,0,0,0,0,0,0,0.04947536029
WISCONSIN,0.15,0,0,0,0.0375,0.0375,0.05142308702
INDIANA,0.15,0,0,0,0.0375,0.0375,0.07162630043
KENTUCKY,0.15,0,0,0,0.0375,0.0375,0.07417801112
ARKANSAS,0,0,0,0,0,0,0.07653265727
MISSOURI,0.15,0,0,0,0.0375,0.0375,0.09958560203
TEXAS,0,0,0,0,0,0,0.1079590235
GEORGIA,0.15,0,0,0,0.0375,0.0375,0.1306397414
FLORIDA,0,0,0,0,0,0,0.1683297191
KANSAS,0.15,0,0,0,0.0375,0.0375,0.1879437107
PENNSYLVANIA,0.15,0,0,0,0.0375,0.0375,0.1993070678
DELAWARE,0.15,0,1,0,0.2875,0.2875,0.2964361285
ARIZONA,0.15,0,0,0,0.0375,0.0375,0.3065788204
VIRGINIA,0.15,0,1,0,0.2875,0.2875,0.3167275243
MAINE,1,0,0,0.34,0.335,0.335,0.335
RHODE ISLAND,1,0,0,0.34,0.335,0.335,0.335
VERMONT,1,0,0,0.34,0.335,0.335,0.335
OHIO,0.15,0,1,0,0.2875,0.2875,0.3417147704
NEW JERSEY,1,0,0,0.34,0.335,0.335,0.35900231
CONNECTICUT,1,0,0,0.34,0.335,0.335,0.399417918
TENNESSEE,0.15,0,1,0.34,0.3725,0.3725,0.4018778991
LOUISIANA,0.15,0,1,0.33,0.37,0.37,0.4050442426
MARYLAND,1,0,0,0.34,0.335,0.335,0.4333798938
NEVADA,0.15,0,1,0.67,0.455,0.455,0.455
OREGON,1,0,0,0.34,0.335,0.335,0.465642098
NEW YORK,0.15,0,0,0,0.0375,0.0375,0.4745672809
WASHINGTON,1,0,0,0.34,0.335,0.335,0.4803576003
NORTH CAROLINA,0.15,0,1,0.66,0.4525,0.4525,0.5243489799
MASSACHUSETTS,1,0,0,1,0.5,0.5,0.5271047671
COLORADO,1,0,1,0.34,0.585,0.585,0.6003965055
ILLINOIS,1,0,1,0.34,0.585,0.585,0.603135235
NEW MEXICO,1,0,1,0.67,0.6675,0.6675,0.6675
MINNESOTA,1,0,1,0.67,0.6675,0.6675,0.6768690762
HAWAII,1,0.5,1,0.34,0.71,0.71,0.71
CALIFORNIA,0.95,0.5,1,1,0.8625,0.8625,0.8663794516
ALASKA,,,,,,,0
IDAHO,,,,,,,0
MONTANA,,,,,,,0
WYOMING,,,,,,,0
WEST VIRGINIA,,,,,,,0
SOUTH DAKOTA,,,,,,,0
MISSISSIPPI,,,,,,,0