State,Abbreviation,Prequalification,Online information,Arrest Only,Juvenile adjudication,Pardoned/sealed/expunged records and convictions,Limit consideration of lower-level offenses,Limit consideration of older convictions,Limit vague terms,Require a direct relationship determination.,individualized consideration,No automatic disqualification,written explanation for denial,Notice of the intent to deny,"Notice of rights to appeal, etc ",Value,average of information (red),average of ending restrictions (green),average of denial procedures (purple),weighted color averages
Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,1,0,1,1,1,1,1,1,1,1,0.5,0.5,0,0.5,0.75,0.5,0.9444444444,0.3333333333,0.7936507937
Arkansas,AR,1,0,0,0,0.5,1,1,1,0,0.5,0,1,0,0,0.4285714286,0.5,0.4444444444,0.3333333333,0.4365079365
California,CA,0,1,1,1,1,0,1,0,1,1,1,0.5,0,1,0.6785714286,0.5,0.7777777778,0.5,0.6984126984
Colorado,CO,0,0,1,1,1,1,0,0,0.5,1,1,1,1,1,0.6785714286,0,0.7222222222,1,0.6587301587
Connecticut,CT,1,0,1,0.5,1,0,0,0,0.5,1,1,1,0,0,0.5,0.5,0.5555555556,0.3333333333,0.5158730159
Delaware,DE,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0.7142857143,0.5,0.6666666667,1,0.6904761905
Florida,FL,0,1,0,0,0,1,0.5,0,0.5,0,0,0,0,0,0.2142857143,0.5,0.2222222222,0,0.2301587302
Georgia,GA,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.2857142857,0,0.4444444444,0,0.3174603175
Hawaii,HI,0,0,0,0,1,0,0.5,0,1,0.5,1,0,1,0,0.3571428571,0,0.4444444444,0.3333333333,0.3650793651
Idaho,ID,1,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0.25,0.5,0.2777777778,0,0.2698412698
Illinois,IL,0,1,1,1,1,0,0.5,1,0.5,1,0,0.5,0,1,0.6071428571,0.5,0.6666666667,0.5,0.619047619
Indiana,IN,1,0,1,0,1,0,1,1,1,1,0,0.5,0,1,0.6071428571,0.5,0.6666666667,0.5,0.619047619
Iowa,IA,1,0,1,0,1,0,0.5,1,1,1,0,0.5,1,1,0.6428571429,0.5,0.6111111111,0.8333333333,0.626984127
Kansas,KS,0.5,0,1,0,0.5,0.5,1,1,0.5,0,0,0,0,0,0.3571428571,0.25,0.5,0,0.3928571429
Kentucky,KY,0,0,0,0,0.5,0,0,0.5,1,1,1,0.5,1,1,0.4642857143,0,0.4444444444,0.8333333333,0.4365079365
Louisiana,LA,1,1,0,0,0.5,0,0,0,1,1,1,1,1,1,0.6071428571,1,0.3888888889,1,0.5634920635
Maine,ME,0,0,0,0,1,0,1,0,0.5,0.5,0,0.5,0,0,0.25,0,0.3333333333,0.1666666667,0.2619047619
Maryland,MD,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0.2857142857,0,0.4444444444,0,0.3174603175
Massachusetts,MA,0,0,0,0,0.5,0,0.5,1,1,0,0,0,0,0,0.2142857143,0,0.3333333333,0,0.2380952381
Michigan,MI,0,0,1,1,1,0.5,0,1,0.5,0.5,0,0,0.5,1,0.5,0,0.6111111111,0.5,0.5079365079
Minnesota,MN,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.6428571429,0.5,0.6666666667,0.6666666667,0.6428571429
Mississippi,MS,1,0,0,0,0.5,0,0,1,1,1,0,1,0,0,0.3928571429,0.5,0.3888888889,0.3333333333,0.3968253968
Missouri,MO,1,0,0,0,0.5,0,0,0.5,1,1,1,0.5,1,1,0.5357142857,0.5,0.4444444444,0.8333333333,0.5079365079
Montana,MT,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0.1071428571,0,0.1111111111,0.1666666667,0.1031746032
Nebraska,NE,1,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.1785714286,0.5,0.05555555556,0.3333333333,0.1587301587
Nevada,NV,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.1071428571,0.25,0.05555555556,0.1666666667,0.09920634921
New Hampshire,NH,1,0,0,0,1,1,0,0,1,0.5,0,0.5,0.5,0.5,0.4285714286,0.5,0.3888888889,0.5,0.4206349206
New Jersey,NJ,0,0,0,0,1,0,0,0.5,0.5,1,1,1,1,0,0.4285714286,0,0.4444444444,0.6666666667,0.4126984127
New Mexico,NM,0,0,1,1,1,1,0,0,1,0,0,0.5,0,0,0.3928571429,0,0.5555555556,0.1666666667,0.4206349206
New York,NY,0,0,0,0.5,1,0,0,0,0.5,1,0,0.5,0,0,0.25,0,0.3333333333,0.1666666667,0.2619047619
North Carolina,NC,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.7857142857,1,0.6666666667,1,0.7619047619
North Dakota,ND,0,0,0,0,0.5,0,0.5,0,0.5,1,0,1,0,0,0.25,0,0.2777777778,0.3333333333,0.246031746
Ohio,OH,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.8571428571,1,0.7777777778,1,0.8412698413
Oklahoma,OK,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0.7857142857,1,0.6666666667,1,0.7619047619
Oregon,OR,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0.1071428571,0,0.1666666667,0,0.119047619
Pennsylvania,PA,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0.7142857143,1,0.6666666667,0.6666666667,0.7142857143
Rhode Island,RI,0,0,1,1,1,1,0.5,0,1,1,0,0.5,1,1,0.6428571429,0,0.7222222222,0.8333333333,0.6349206349
South Carolina,SC,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.07142857143,0,0.1111111111,0,0.07936507937
South Dakota,SD,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.03571428571,0,0.05555555556,0,0.03968253968
Tennessee,TN,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0.5,0.5,0.3333333333,1,0.4523809524
Texas,TX,1,1,1,0,0.5,1,0,1,0.5,1,0,0.5,1,0,0.6071428571,1,0.5555555556,0.5,0.6111111111
Utah,UT,1,0.5,1,0,0.5,0,1,0.5,1,1,0,0.5,1,0,0.5714285714,0.75,0.5555555556,0.5,0.5753968254
Vermont,VT,1,0.5,0,0,0.5,0,0,0,0.5,1,0,0.5,1,0,0.3571428571,0.75,0.2222222222,0.5,0.3373015873
Virginia,VA,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0.1785714286,0,0.2222222222,0.1666666667,0.1825396825
Washington,WA,1,0,0,1,1,0.5,1,1,1,1,0,1,0,1,0.6785714286,0.5,0.7222222222,0.6666666667,0.6825396825
West Virginia,WV,1,0,0,0,1,0,1,1,0.5,1,1,0,0,0,0.4642857143,0.5,0.6111111111,0,0.5079365079
Wisconsin,WI,1,1,0,0,1,0,0,1,1,1,0,0.5,1,0,0.5357142857,1,0.4444444444,0.5,0.5317460317
Wyoming,WY,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.1785714286,0.25,0.2222222222,0,0.1944444444